Year,Extraversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Second Year,3,2,7,Right-handed,Right leg in first,On your right side,Dog,4
First Year,5,5,7,Right-handed,Right leg in first,On your right side,Dog,4
First Year,7,10,7,Right-handed,Right leg in first,On your right side,Dog,4
Second Year,4,10,7,Right-handed,Right leg in first,On your right side,Dog,4
First Year,3,7,8,Right-handed,Right leg in first,On your right side,Dog,4
Third Year,5,4,9,Right-handed,Right leg in first,On your right side,Dog,4
Fourth Year,6,4,7,Right-handed,Left leg in first,On your stomach,Dog,4
Third Year,7,10,7,Right-handed,Left leg in first,On your stomach,Dog,4
Second Year,7,2,8,Right-handed,Left leg in first,On your stomach,Dog,4
Third Year,7,4,6,Right-handed,Right leg in first,On your stomach,Dog,4
Third Year,7,10,7,Right-handed,Right leg in first,On your stomach,Dog,4
First Year,6,6,8,Right-handed,Right leg in first,On your stomach,Dog,4
Second Year,4,6,8,Right-handed,Right leg in first,On your stomach,Dog,4
Second Year,7,10,8,Right-handed,Right leg in first,On your stomach,Dog,4
Second Year,8,8,6,Right-handed,Left leg in first,On your left side,"Dog, Fish",4
First Year,3,5,9,Left-handed,I don't know,On your right side,"Dog, Fish",4
Second Year,7,6,7,Right-handed,Left leg in first,On your right side,"Dog, Fish",4
First Year,4,5,6,Right-handed,Right leg in first,On your right side,"Dog, Fish",4
First Year,10,7,7,Left-handed,Left leg in first,On your back,"Dog, hamster",4
Third Year,7,4,7,Right-handed,Right leg in first,On your right side,"Dog, Hamster or Guinea Pig",4
First Year,8,20,6,Right-handed,Left leg in first,On your left side,Fish,4
First Year,6,12,6,Right-handed,Left leg in first,On your right side,Fish,4
First Year,6,12,6,Right-handed,Right leg in first,On your right side,Fish,4
First Year,9,13,8,Right-handed,Right leg in first,On your back,Hamster or Guinea Pig,4
First Year,3,3,7,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,4
Fourth Year,7,4,6,Right-handed,I don't know,On your back,None,4
Third Year,7,7,8,Right-handed,Left leg in first,On your back,None,4
First Year,5,8,6,Right-handed,Right leg in first,On your back,None,4
Second Year,5,15,8,Right-handed,Right leg in first,On your back,None,4
Second Year,5,3,9,Left-handed,I don't know,On your left side,None,4
First Year,4,5,7,Right-handed,I don't know,On your left side,None,4
Fourth Year,4,3,6,Right-handed,Left leg in first,On your left side,None,4
First Year,6,4,6,Right-handed,Left leg in first,On your left side,None,4
Second Year,3,5,6,Right-handed,Left leg in first,On your left side,None,4
Third Year,3,8,6.5,Right-handed,Left leg in first,On your left side,None,4
Second Year,8,5,9,Right-handed,Left leg in first,On your left side,None,4
First Year,4,3,6,Right-handed,Right leg in first,On your left side,None,4
First Year,7,7,6,Right-handed,Right leg in first,On your left side,None,4
Third Year,5,10,6,Right-handed,Right leg in first,On your left side,None,4
Third Year,3,5,7,Right-handed,Right leg in first,On your left side,None,4
Third Year,5,10,7,Right-handed,Right leg in first,On your left side,None,4
First Year,7,15,7,Right-handed,Right leg in first,On your left side,None,4
Fourth Year,7,3,8,Right-handed,Right leg in first,On your left side,None,4
Third Year,7,5,8,Right-handed,Right leg in first,On your left side,None,4
Fourth Year,8,5,9,Right-handed,Right leg in first,On your left side,None,4
First Year,5,10,7,Right-handed,I don't know,On your right side,None,4
Second Year,9,12,7,Right-handed,I don't know,On your right side,None,4
Second Year,7,6,6,Left-handed,Left leg in first,On your right side,None,4
First Year,4,8,7,Right-handed,Left leg in first,On your right side,None,4
First Year,4,3,7.5,Right-handed,Left leg in first,On your right side,None,4
Second Year,4,5,8,Left-handed,Right leg in first,On your right side,None,4
Third Year,2,2,6,Right-handed,Right leg in first,On your right side,None,4
Third Year,3,3,6,Right-handed,Right leg in first,On your right side,None,4
First Year,4,10,6,Right-handed,Right leg in first,On your right side,None,4
Second Year,5,4,7,Right-handed,Right leg in first,On your right side,None,4
First Year,7,6,7,Right-handed,Right leg in first,On your right side,None,4
First Year,8,10,7,Right-handed,Right leg in first,On your right side,None,4
First Year,7,12,7,Right-handed,Right leg in first,On your right side,None,4
Second Year,8,10,8,Right-handed,Right leg in first,On your right side,None,4
Third Year,6,11,8,Right-handed,Right leg in first,On your right side,None,4
Second Year,6,20,8,Right-handed,Right leg in first,On your right side,None,4
First Year,3,5,5,Left-handed,Left leg in first,On your stomach,None,4
Second Year,6,15,7,Right-handed,Right leg in first,On your stomach,None,4
First Year,8,50,7,Right-handed,Right leg in first,On your stomach,None,4
First Year,7,5,8,Right-handed,Right leg in first,On your stomach,None,4
First Year,6,3,8,Right-handed,Left leg in first,On your right side,"None, ",4
Third Year,8,6,7,Left-handed,Right leg in first,On your left side,Rabbit,4
Second Year,8,5,6,Left-handed,Right leg in first,On your left side,A Younger Brother,5
Third Year,7,4,7,Right-handed,Left leg in first,On your back,Cat,5
Second Year,5,4,7,Right-handed,Right leg in first,On your back,Cat,5
Second Year,8,30,8,Right-handed,Right leg in first,On your left side,Cat,5
Third Year,7,4,8,Right-handed,Left leg in first,On your right side,Cat,5
Second Year,4,4,7,Right-handed,Right leg in first,On your right side,Cat,5
First Year,7,7,8,Right-handed,Left leg in first,On your left side,"Cat, Dog",5
Second Year,7,15,7,Right-handed,Right leg in first,On your left side,"Cat, Dog",5
Third Year,3,3,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",5
Third Year,7,8,8,Right-handed,I don't know,On your right side,"Cat, Dog, Fish",5
Second Year,6,5,8,Right-handed,Right leg in first,On your right side,"Cat, Dog, Rabbit, Frog",5
Second Year,8,10,7,Right-handed,Left leg in first,On your left side,"Cat, Hermit Crab",5
Second Year,6,30,7,Right-handed,Left leg in first,On your back,"Cat, I used to have a pet named $ushi but he died and we had to hold a funeral service for him in the Unit 3 Ida Sprout second floor bathroom. RIP",5
Second Year,8,10,6,Right-handed,Left leg in first,On your back,Dog,5
First Year,6,10,6,Right-handed,Left leg in first,On your back,Dog,5
Third Year,1,10,6,Right-handed,Left leg in first,On your back,Dog,5
First Year,3,3,8,Right-handed,Left leg in first,On your back,Dog,5
Second Year,8,13,6,Right-handed,Right leg in first,On your back,Dog,5
First Year,7,5,7,Right-handed,Right leg in first,On your back,Dog,5
First Year,8,6,7,Right-handed,Right leg in first,On your back,Dog,5
Second Year,8,10,7,Right-handed,Right leg in first,On your back,Dog,5
First Year,4,6,9,Right-handed,Right leg in first,On your back,Dog,5
Fourth Year,1,2,6,Right-handed,Left leg in first,On your left side,Dog,5
Second Year,5,5,7,Right-handed,Left leg in first,On your left side,Dog,5
Second Year,7,7,8,Right-handed,Left leg in first,On your left side,Dog,5
First Year,7,9,8,Right-handed,Left leg in first,On your left side,Dog,5
Second Year,6,15,7.5,Right-handed,Right leg in first,On your left side,Dog,5
Fourth Year,6,2,8,Right-handed,Right leg in first,On your left side,Dog,5
First Year,8,8,8,Right-handed,Right leg in first,On your left side,Dog,5
Second Year,3,6,9,Right-handed,Right leg in first,On your left side,Dog,5
First Year,3,6,7,Right-handed,I don't know,On your right side,Dog,5
First Year,3,6,10,Right-handed,Left leg in first,On your right side,Dog,5
First Year,6,4,7,Right-handed,Right leg in first,On your right side,Dog,5
Third Year,4,4,7,Right-handed,Right leg in first,On your right side,Dog,5
Second Year,6,5,7,Right-handed,Right leg in first,On your right side,Dog,5
Second Year,8,7,7,Right-handed,Right leg in first,On your right side,Dog,5
Second Year,8,7,7,Right-handed,Right leg in first,On your right side,Dog,5
Third Year,8,10,7,Right-handed,Right leg in first,On your right side,Dog,5
Second Year,5,5,8,Right-handed,Left leg in first,On your stomach,Dog,5
Second Year,5,4,7,Right-handed,Right leg in first,On your stomach,Dog,5
Third Year,5,4,7,Right-handed,Right leg in first,On your stomach,Dog,5
Second Year,9,10,7.5,Right-handed,Right leg in first,On your stomach,Dog,5
Third Year,6,3,7,Right-handed,Left leg in first,On your stomach,"Dog, chicken",5
First Year,4,1,8,Right-handed,Right leg in first,On your right side,"Dog, Fish",5
Fourth Year,3,5,8,Left-handed,Left leg in first,On your right side,"Dog, Turtle, Bird",5
First Year,5,5,7,Right-handed,Right leg in first,On your stomach,"Dog, Turtle, Bird",5
First Year,4,10,7,Right-handed,Left leg in first,On your left side,Fish,5
First Year,4,6,7,Right-handed,Right leg in first,On your right side,"Fish, Turtle",5
Second Year,7,3,7,Right-handed,I don't know,On your back,Hamster or Guinea Pig,5
Third Year,4,3,7,Left-handed,Left leg in first,On your back,None,5
Third Year,4,5,7.5,Right-handed,Right leg in first,On your back,None,5
Third Year,7,9,8,Right-handed,Right leg in first,On your back,None,5
First Year,5,3,6,Right-handed,I don't know,On your left side,None,5
Third Year,7,8,9,Right-handed,I don't know,On your left side,None,5
First Year,7,7,7,Right-handed,Left leg in first,On your left side,None,5
First Year,6,20,7,Right-handed,Left leg in first,On your left side,None,5
Fourth Year,7,4,7,Right-handed,Right leg in first,On your left side,None,5
Second Year,8,20,8,Right-handed,Right leg in first,On your left side,None,5
First Year,8,6,7,Right-handed,I don't know,On your right side,None,5
Second Year,5,10,6,Right-handed,Left leg in first,On your right side,None,5
Third Year,7,12,6,Right-handed,Left leg in first,On your right side,None,5
Third Year,7,3,7,Right-handed,Left leg in first,On your right side,None,5
Second Year,8,5,6,Left-handed,Right leg in first,On your right side,None,5
Third Year,4,10,6,Left-handed,Right leg in first,On your right side,None,5
Second Year,6,5,6,Right-handed,Right leg in first,On your right side,None,5
Second Year,7,3,7,Right-handed,Right leg in first,On your right side,None,5
Second Year,5,5,6,Right-handed,Right leg in first,On your stomach,None,5
Fourth Year,7,10,8,Right-handed,Right leg in first,On your stomach,None,5
First Year,5,5,6.5,Right-handed,Right leg in first,On your right side,Rat ,5
First Year,5,21,8,Left-handed,Left leg in first,On your left side,Cat,6
Second Year,4,3,6,Right-handed,Left leg in first,On your left side,Cat,6
First Year,6,10,7,Right-handed,Left leg in first,On your left side,Cat,6
First Year,5,5,8,Left-handed,Right leg in first,On your left side,Cat,6
First Year,9,10,7,Right-handed,Right leg in first,On your right side,Cat,6
First Year,3,3,6,Right-handed,I don't know,On your back,"Cat, Dog",6
Fourth Year,3,2,8,Right-handed,Right leg in first,On your back,"Cat, Dog",6
Second Year,3,4,6,Right-handed,Right leg in first,On your left side,"Cat, Dog",6
Second Year,1,4,4,Right-handed,Left leg in first,On your right side,"Cat, Dog",6
Second Year,8,10,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",6
First Year,8,7,8,Right-handed,Right leg in first,On your left side,"Cat, Dog, Fish",6
First Year,5,7,7,Right-handed,Right leg in first,On your back,Dog,6
First Year,4,4,8,Right-handed,Right leg in first,On your back,Dog,6
First Year,6,7,5,Left-handed,Left leg in first,On your left side,Dog,6
Third Year,3,5,7.5,Right-handed,Left leg in first,On your left side,Dog,6
First Year,8,10,8,Right-handed,Left leg in first,On your left side,Dog,6
Second Year,7,10,7,Right-handed,Right leg in first,On your left side,Dog,6
First Year,7,15,7,Right-handed,Left leg in first,On your right side,Dog,6
Third Year,6,11,8,Right-handed,Left leg in first,On your right side,Dog,6
First Year,7,5,9,Right-handed,Left leg in first,On your right side,Dog,6
First Year,7,15,7,Right-handed,Right leg in first,On your right side,Dog,6
Second Year,7,30,7,Right-handed,Right leg in first,On your right side,Dog,6
First Year,7,7,8,Right-handed,Right leg in first,On your right side,Dog,6
Second Year,5,10,8,Right-handed,Right leg in first,On your right side,Dog,6
Second Year,8,7,7,Left-handed,Left leg in first,On your right side,Fish,6
Second Year,2,2,7,Right-handed,Left leg in first,On your back,None,6
Second Year,7,10,8,Right-handed,Left leg in first,On your back,None,6
First Year,8,10,8,Right-handed,Right leg in first,On your back,None,6
First Year,7,15,7,Right-handed,I don't know,On your left side,None,6
Third Year,4,7,7,Right-handed,Left leg in first,On your left side,None,6
Second Year,7,10,6,Right-handed,Right leg in first,On your left side,None,6
First Year,7,5,7,Right-handed,Right leg in first,On your left side,None,6
First Year,5,6,7,Right-handed,Right leg in first,On your left side,None,6
Second Year,9,10,8,Right-handed,Right leg in first,On your left side,None,6
Second Year,6,6,7,Right-handed,Left leg in first,On your right side,None,6
First Year,7,4,6,Right-handed,Right leg in first,On your right side,None,6
First Year,7,10,6,Right-handed,Right leg in first,On your right side,None,6
Second Year,4,4,8,Right-handed,Right leg in first,On your right side,None,6
First Year,7,9,7,Right-handed,Right leg in first,On your stomach,None,6
First Year,6,6,8,Right-handed,Right leg in first,On your left side,Rabbit,6
First Year,7,6,9,Right-handed,Left leg in first,On your left side,Turtle,6
First Year,3,5,7,Right-handed,Right leg in first,On your left side,Cat,7
Third Year,5,8,8,Right-handed,Right leg in first,On your left side,Cat,7
Third Year,7,3,7,Right-handed,Left leg in first,On your right side,Cat,7
First Year,6,7,6,Right-handed,Right leg in first,On your right side,Cat,7
Third Year,6,12,6,Right-handed,Right leg in first,On your right side,Cat,7
Second Year,8,6,7,Right-handed,Left leg in first,On your stomach,Cat,7
Fourth Year,7,3,6.5,Right-handed,Left leg in first,On your back,"Cat, Dog",7
Second Year,9,12,8,Right-handed,Left leg in first,On your left side,"Cat, Dog",7
Second Year,4,4,8,Right-handed,Right leg in first,On your left side,"Cat, Dog",7
Second Year,7,5,7,Right-handed,Left leg in first,On your right side,"Cat, Dog",7
Fourth Year,2,3,5,Right-handed,Right leg in first,On your right side,"Cat, Dog",7
Second Year,7,26,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",7
First Year,7,15,8,Right-handed,Right leg in first,On your left side,"Cat, Dog, Turtle",7
Second Year,5,2,8,Left-handed,Left leg in first,On your left side,Dog,7
First Year,8,7,6,Right-handed,Right leg in first,On your left side,Dog,7
First Year,7,6,7,Right-handed,I don't know,On your right side,Dog,7
First Year,7,3,7,Right-handed,Right leg in first,On your right side,Dog,7
Third Year,7,3,8,Right-handed,Right leg in first,On your right side,Dog,7
First Year,6,6,7,Left-handed,Left leg in first,On your stomach,Dog,7
Third Year,2,4,9,Right-handed,Left leg in first,On your stomach,Dog,7
First Year,4,15,9,Right-handed,Left leg in first,On your right side,"Dog, Fish, Pig",7
Second Year,8,10,8,Right-handed,I don't know,On your back,None,7
Third Year,9,4,6,Right-handed,Left leg in first,On your left side,None,7
Second Year,8,6,6,Right-handed,Left leg in first,On your left side,None,7
First Year,5,5,6,Right-handed,Right leg in first,On your left side,None,7
First Year,8,20,6,Right-handed,Right leg in first,On your left side,None,7
Fourth Year,4,20,6,Right-handed,Right leg in first,On your left side,None,7
Second Year,8,6,7.5,Right-handed,Left leg in first,On your right side,None,7
First Year,6,3,5,Right-handed,Right leg in first,On your right side,None,7
First Year,5,2,7,Right-handed,Left leg in first,On your stomach,None,7
Second Year,7,5,8,Right-handed,Right leg in first,On your stomach,None,7
Second Year,7,3,10,Right-handed,Right leg in first,On your left side,snails,7
Second Year,4,6,7,Right-handed,Left leg in first,On your back,Cat,8
First Year,6,12,7,Left-handed,I don't know,On your left side,"Cat, Dog",8
Third Year,7,15,6.5,Right-handed,Left leg in first,On your right side,"Cat, Dog, horse",8
First Year,6,10,7,Right-handed,Right leg in first,On your left side,"Cat, Hamster or Guinea Pig",8
Second Year,8,4,7,Right-handed,Left leg in first,On your back,Dog,8
Second Year,6,9,9,Right-handed,Left leg in first,On your back,Dog,8
Second Year,8,10,7,Right-handed,Right leg in first,On your left side,Dog,8
Third Year,8,8,7,Right-handed,I don't know,On your right side,Dog,8
Fifth Year or above,6,3,7,Right-handed,Right leg in first,On your right side,Dog,8
Second Year,6,4,7,Right-handed,Right leg in first,On your right side,Dog,8
Fourth Year,7,5,7,Right-handed,Left leg in first,On your stomach,Dog,8
Third Year,6,3,6,Right-handed,Right leg in first,On your stomach,Dog,8
Third Year,1,10,6,Right-handed,Right leg in first,On your right side,"Dog, Fish",8
Fourth Year,6,3,7,Right-handed,Left leg in first,On your left side,"Dog, Rabbit",8
Fourth Year,5,4,8,Right-handed,Left leg in first,On your left side,None,8
First Year,6,3,7,Right-handed,Right leg in first,On your left side,None,8
Second Year,7,6,5,Right-handed,Right leg in first,On your back,"Cat, Dog",9
First Year,10,20,7,Right-handed,Right leg in first,On your right side,"Cat, Dog, Fish",9
First Year,7,10,8,Right-handed,Right leg in first,On your back,Dog,9
First Year,7,3,6,Right-handed,Right leg in first,On your left side,Dog,9
Second Year,9,20,7,Right-handed,Right leg in first,On your left side,Dog,9
First Year,8,6,6,Right-handed,Right leg in first,On your right side,Dog,9
Third Year,8,3,7,Right-handed,Right leg in first,On your right side,Dog,9
Second Year,5,3,7,Right-handed,Right leg in first,On your right side,Dog,9
Second Year,9,8,8,Right-handed,Right leg in first,On your stomach,Dog,9
First Year,7,10,8,Right-handed,Right leg in first,On your back,None,9
Second Year,7,5,7,Left-handed,Left leg in first,On your left side,None,9
First Year,4,3,8,Right-handed,I don't know,On your right side,None,9
Third Year,9,20,8,Right-handed,Left leg in first,On your back,Cat,10
Second Year,8,10,6,Right-handed,Right leg in first,On your stomach,"Cat, Dog",10
First Year,8,20,10,Right-handed,Right leg in first,On your right side,Dog,10
Second Year,8,5,9,Right-handed,Left leg in first,On your back,"Dog, Fish",10
First Year,4,10,7,Right-handed,Right leg in first,On your stomach,"Dog, Turtle",10
First Year,1,2,7,Right-handed,Right leg in first,On your back,I have roommates ,10
Second Year,3,3,7,Right-handed,I don't know,On your left side,None,10
Fourth Year,6,8,7,Right-handed,Right leg in first,On your right side,"Cat, Dog, Rabbit",11
Second Year,7,5,7,Right-handed,Right leg in first,On your back,Dog,11
Second Year,5,4,7,Right-handed,Left leg in first,On your stomach,Dog,11
Second Year,3,4,7,Right-handed,Left leg in first,On your stomach,Dog,11
Second Year,8,4,8,Left-handed,Right leg in first,On your back,None,11
Third Year,7,14,9,Right-handed,Left leg in first,On your left side,None,11
Fourth Year,10,10,10,Right-handed,I don't know,On your stomach,None,11
Second Year,7,5,9,Right-handed,Right leg in first,On your left side,"Cat, Dog",12
Third Year,7,2,6,Right-handed,Right leg in first,On your stomach,None,12
Third Year,7,5,8,Right-handed,Right leg in first,On your right side,Cat,13
Second Year,7,10,7,Right-handed,Right leg in first,On your right side,None,13
First Year,5,6,7,Right-handed,Right leg in first,On your left side,Dog,14
Second Year,4,5,7,Right-handed,Right leg in first,On your right side,None,14
Second Year,9,5,7,Right-handed,Right leg in first,On your left side,Cat,15
First Year,7,5,6,Right-handed,Right leg in first,On your right side,None,18
First Year,8,20,10,Right-handed,I don't know,On your back,Dog,25
Third Year,8,47,15,Ambidextrous,Right leg in first,On your stomach,sibling,28
Third Year,7,1,3,Left-handed,Right leg in first,On your stomach,Turtle,98
Third Year,7,2,7,Right-handed,Left leg in first,On your right side,None,1000000000
Second Year,6,10,8,Right-handed,Right leg in first,On your stomach,Cat,0
Second Year,7,4,5,Right-handed,Right leg in first,On your left side,"Cat, Dog",0
Third Year,7,6,9,Right-handed,Left leg in first,On your back,Dog,0
Second Year,3,5,6,Right-handed,Right leg in first,On your back,Dog,0
Second Year,3,2,7,Right-handed,Right leg in first,On your back,Dog,0
First Year,5,6,7,Right-handed,Right leg in first,On your left side,Dog,0
Second Year,5,3,7,Right-handed,Right leg in first,On your stomach,Dog,0
First Year,6,5,8,Right-handed,Right leg in first,On your stomach,Dog,0
Second Year,7,10,7,Right-handed,Left leg in first,On your back,"Dog, Bird",0
First Year,2,5,6,Right-handed,Right leg in first,On your right side,Fish,0
Fourth Year,3,2,7,Right-handed,Right leg in first,On your right side,Fish,0
Third Year,5,0,8,Right-handed,I don't know,On your back,None,0
Fourth Year,10,3,3,Right-handed,Left leg in first,On your back,None,0
First Year,6,15,6,Right-handed,Left leg in first,On your back,None,0
Third Year,5,5,8,Right-handed,Left leg in first,On your back,None,0
Second Year,9,4,7,Right-handed,Right leg in first,On your back,None,0
First Year,5,5,7,Right-handed,I don't know,On your left side,None,0
Second Year,7,5,8,Left-handed,Left leg in first,On your left side,None,0
Fourth Year,5,6,5,Right-handed,Left leg in first,On your left side,None,0
Second Year,4,4,6,Right-handed,Left leg in first,On your left side,None,0
First Year,4,4,7,Right-handed,Left leg in first,On your left side,None,0
Second Year,4,2,8,Right-handed,Left leg in first,On your left side,None,0
Second Year,7,5,8,Right-handed,Left leg in first,On your left side,None,0
Second Year,3,8,7,Right-handed,Right leg in first,On your left side,None,0
Second Year,4,2,8,Right-handed,I don't know,On your right side,None,0
Fourth Year,5,10,8,Right-handed,I don't know,On your right side,None,0
Second Year,8,6,6,Right-handed,Left leg in first,On your right side,None,0
Third Year,7,2,7,Right-handed,Left leg in first,On your right side,None,0
Third Year,3,3,6,Right-handed,Right leg in first,On your right side,None,0
First Year,5,8,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,7,15,7,Right-handed,Right leg in first,On your right side,None,0
Second Year,6,2,6,Right-handed,Right leg in first,On your stomach,None,0
